Index;Altitude;Certification;Code postal;Consommation;Année Construction;kgCO2;Coût des travaux;€/m²;kgCO2/€;Département;Emission CO2;Emission CO3;Fiabilité;Livraison;Niv. énergetique;Permis;Respect Effinergie+;Respect RT2012;SDP;SRT;Shon;Shon RT;Surface;Surface reglementaire;Travaux;Type bâtiment;Usage principal;Ville;Zone climatique;_graph-conso-globale_5 usages réglementaires;_graph-conso-globale_Autres Usages;_graph-conso-globale_Mobilité / Déplacements;_graph-pie-contrib_Chantier;_graph-pie-contrib_Eau;_graph-pie-contrib_Energie;_graph-pie-contrib_Produits de Constructions et Equipements;E,GES;_graph-pie-decomp-composant_Appareils élévateurs;_graph-pie-decomp-composant_Chauffage, ventilation, ECS, froid;_graph-pie-decomp-composant_Cloisonnement, Doublage, Menuiseries intérieures;_graph-pie-decomp-composant_Couverture,Charpente, Étanchéité;_graph-pie-decomp-composant_Equipements de production d’énergie;_graph-pie-decomp-composant_Façades et menuiseries extérieures;_graph-pie-decomp-composant_Fluides frigorigènes;_graph-pie-decomp-composant_Fondations et infrastructures;_graph-pie-decomp-composant_Maçonnerie, Superstructure;_graph-pie-decomp-composant_Revêtements sol mur et plafonds, chapes, décoration;_graph-pie-decomp-composant_Réseaux de communication;_graph-pie-decomp-composant_Réseaux d’énergie;_graph-pie-decomp-composant_Sanitaire;_graph-pie-decomp-composant_VRD;Colonne2;_graph-pie-eges_obs_Chauffage;_graph-pie-eges_obs_ECS;_graph-pie-eges_obs_Eclairage;_graph-pie-eges_obs_Refroidissement;_graph-pie-eges_obs_VMC & Auxiliaires;_graph-pie-perf_obs_Auxiliaires;_graph-pie-perf_obs_Chauffage;_graph-pie-perf_obs_ECS;_graph-pie-perf_obs_Eclairage;_graph-pie-perf_obs_Refroidissement;_graph-pie-perf_obs_VMC;Colonne1;_graph-pie-phase_Construction;_graph-pie-phase_Fin de vie;_graph-pie-phase_Production;_graph-pie-phase_Utilisation;_graph-pie-repart_deperd2_Autres planchers hauts et toitures (A2);_graph-pie-repart_deperd2_Liaisons plancher bas avec mur (L8);_graph-pie-repart_deperd2_Liaisons plancher haut A3 avec mur (L10);_graph-pie-repart_deperd2_Liaisons plancher intermédiaire avec mur (L9);_graph-pie-repart_deperd2_Parois verticales opaques (A1);_graph-pie-repart_deperd2_Parois vitrées non résidentiel (A6);_graph-pie-repart_deperd2_Parois vitrées résidentiel (A7);_graph-pie-repart_deperd2_Planchers bas (A4);_graph-pie-repart_deperd2_Planchers hauts en béton ou en maçonnerie (A3);_graph-pie-repart_deperd2_Portes (A5);Colonne3;_graph_donne_eco_Autres;_graph_donne_eco_Chauffage - VMC - Plomberie;_graph_donne_eco_Chauffage, ECS, Ventilation;_graph_donne_eco_Clos Couvert;kgCO2/€ Clos couvert;_graph_donne_eco_ENR;_graph_donne_eco_Electricité;_graph_donne_eco_Electricité - PV;_graph_donne_eco_Gros Oeuvre - Structure - Bardage;kgCO2/€ gros œuvre structure bardage;_graph_donne_eco_Second Œuvre3;kgCO2/€ second œuvre;_graph_donne_eco_Système CVC - Electricité;_index_num;_repart_deperd_Baies en hiver;_repart_deperd_Murs;_repart_deperd_Plancher bas;_repart_deperd_Ponts thermiques;_repart_deperd_Toitures;url
1973;226;;01000;52.84;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;671;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.02;29.13;14.74;7.33;;2.53;;;;;;;16.05;86.74;32.93;107.06;;134.02;58.18;25.46;28.35;0;;;;;;;;;;;0;;;1973;;;;;;https://www.observatoirebbc.org/projets/renovation/1973
1974;226;;01000;52.2;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;666;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1.99;29.11;14.51;6.88;;2.55;;;;;;;19.34;87.01;27.46;97.65;;142.27;56.69;25.76;28.35;0;;;;;;;;;;;0;;;1974;;;;;;https://www.observatoirebbc.org/projets/renovation/1974
1975;226;;01000;51.23;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;626;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.01;28.63;14.05;6.83;;2.71;;;;;;;22.04;79.95;25.46;96.51;;123.16;55.44;24.37;25.2;0;;;;;;;;;;;0;;;1975;;;;;;https://www.observatoirebbc.org/projets/renovation/1975
1976;226;;01000;50.32;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;703;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1.93;27.64;14.18;6.96;;2.41;;;;;;;16.68;84.25;33.61;109.41;;139.84;55.9;25.55;28.35;0;;;;;;;;;;;0;;;1976;;;;;;https://www.observatoirebbc.org/projets/renovation/1976
1977;226;;01000;52.79;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;246;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.2;31.4;13.44;6.28;;3.68;;;;;;;4.25;29.33;15.92;52.35;;55.71;14.5;7.66;9.44;0;;;;;;;;;;;0;;;1977;;;;;;https://www.observatoirebbc.org/projets/renovation/1977
1978;226;;01000;49.74;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;462;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.28;26.55;14.48;7.21;;3.43;;;;;;;5.89;53.41;21.19;65.86;;94.76;29.32;17.03;18.89;0;;;;;;;;;;;0;;;1978;;;;;;https://www.observatoirebbc.org/projets/renovation/1978
1979;226;;01000;54.38;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;238;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.29;33.19;13.68;6.31;;3.8;;;;;;;4.34;36.56;14.6;51.96;;54.7;14.67;7.97;9.44;0;;;;;;;;;;;0;;;1979;;;;;;https://www.observatoirebbc.org/projets/renovation/1979
1980;226;;01000;57.6;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;265;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.11;35.04;13.12;6.36;;5.11;;;;;;;4.84;43.44;13.54;54.97;;61.41;17.23;10.1;9.44;0;;;;;;;;;;;0;;;1980;;;;;;https://www.observatoirebbc.org/projets/renovation/1980
7027;230;;01000;48.12;1932;0;1201520;620.619834710744;0;;20;1000;Appel à projets;06-2016;BBC-Effinergie Rénovation;;;;;;1936;;1936;;Rénovation - RT ex;Tertiaire - Public;Établissement Enseignement zone d'hébergement;Bourg-en-Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;6.48;0.1;0.44;;0.01;0.29;26.03;4.01;17.77;;;;;;;;153;324;367;14;284;671;20;520;;;0;;;;;;;;;;;0;;;7027;;;;;;https://www.observatoirebbc.org/projets/renovation/7027
7029;230;;01000;37.5;1906;0;1466794;352.849170074573;0;;;0;Appel à projets;05-2016;BBC-Effinergie Rénovation;;;;;;4157;;4157;;Rénovation - RT ex;Tertiaire - Public;Établissement Enseignement zone d'enseignement;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;0.53;0.13;0.44;;0.03;0.11;13.37;5.21;17.71;;1.08;;;;;;28;142;333;24;707;901;;554;256;;0;;;;;;;;;;;414850;0;372628;7029;;;;;;https://www.observatoirebbc.org/projets/renovation/7029
